Method,Beta,Perf
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,0.9453
GNN-4,0.1,0.978
Greedy,0.1,0.9453
SCITE,0.1,1.0
FCNN-3,0.1,0.9652
GNN-4,0.1,1.0
Greedy,0.1,0.9652
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,1.0
SCITE,0.1,1.0
FCNN-3,0.1,1.0
GNN-4,0.1,1.0
Greedy,0.1,0.9252
SCITE,0.1,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9773
Greedy,0.2,0.9978
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.7849
Greedy,0.2,0.7006
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9853
Greedy,0.2,0.8398
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9008
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9584
GNN-4,0.2,0.9749
Greedy,0.2,0.9971
SCITE,0.2,1.0
FCNN-3,0.2,0.937
GNN-4,0.2,0.885
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9805
Greedy,0.2,0.9805
SCITE,0.2,1.0
FCNN-3,0.2,0.9328
GNN-4,0.2,1.0
Greedy,0.2,0.9451
SCITE,0.2,1.0
FCNN-3,0.2,0.9901
GNN-4,0.2,1.0
Greedy,0.2,0.9901
SCITE,0.2,1.0
FCNN-3,0.2,0.9583
GNN-4,0.2,0.9316
Greedy,0.2,0.8039
SCITE,0.2,1.0
FCNN-3,0.2,0.9686
GNN-4,0.2,1.0
Greedy,0.2,0.9457
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9279
Greedy,0.2,0.9472
SCITE,0.2,1.0
FCNN-3,0.2,0.9736
GNN-4,0.2,0.6974
Greedy,0.2,0.9346
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9565
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.8741
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9892
GNN-4,0.2,0.9638
Greedy,0.2,0.9892
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9905
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.8216
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.8895
SCITE,0.2,1.0
FCNN-3,0.2,0.9851
GNN-4,0.2,0.9179
Greedy,0.2,0.8959
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.7681
GNN-4,0.2,0.7683
Greedy,0.2,0.7681
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9322
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9822
Greedy,0.2,0.9691
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9958
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9801
Greedy,0.2,0.9801
SCITE,0.2,1.0
FCNN-3,0.2,0.9533
GNN-4,0.2,0.6454
Greedy,0.2,0.9169
SCITE,0.2,1.0
FCNN-3,0.2,0.9725
GNN-4,0.2,1.0
Greedy,0.2,0.9725
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.7692
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9711
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9552
GNN-4,0.2,0.9199
Greedy,0.2,0.9037
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9897
Greedy,0.2,0.8788
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.964
Greedy,0.2,0.9117
SCITE,0.2,1.0
FCNN-3,0.2,0.977
GNN-4,0.2,0.9373
Greedy,0.2,0.9165
SCITE,0.2,1.0
FCNN-3,0.2,0.9291
GNN-4,0.2,0.9096
Greedy,0.2,0.9291
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.8971
GNN-4,0.2,0.9239
Greedy,0.2,0.7802
SCITE,0.2,1.0
FCNN-3,0.2,0.8948
GNN-4,0.2,0.8984
Greedy,0.2,0.792
SCITE,0.2,1.0
FCNN-3,0.2,0.9762
GNN-4,0.2,1.0
Greedy,0.2,0.9762
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9654
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9815
GNN-4,0.2,0.9787
Greedy,0.2,0.9815
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9757
Greedy,0.2,0.9562
SCITE,0.2,1.0
FCNN-3,0.2,0.8883
GNN-4,0.2,0.7542
Greedy,0.2,0.7877
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9855
SCITE,0.2,1.0
FCNN-3,0.2,0.8981
GNN-4,0.2,1.0
Greedy,0.2,0.8981
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9046
Greedy,0.2,0.9604
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9542
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9353
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9049
GNN-4,0.2,0.9789
Greedy,0.2,0.726
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9611
Greedy,0.2,0.9727
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.8812
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9882
GNN-4,0.2,0.8127
Greedy,0.2,0.9882
SCITE,0.2,1.0
FCNN-3,0.2,0.9282
GNN-4,0.2,1.0
Greedy,0.2,0.7671
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.8566
GNN-4,0.2,0.9836
Greedy,0.2,0.8307
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9717
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.985
SCITE,0.2,1.0
FCNN-3,0.2,0.8616
GNN-4,0.2,0.9102
Greedy,0.2,0.7707
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.989
GNN-4,0.2,0.9612
Greedy,0.2,0.989
SCITE,0.2,1.0
FCNN-3,0.2,0.8959
GNN-4,0.2,0.9007
Greedy,0.2,0.7663
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9836
Greedy,0.2,0.9228
SCITE,0.2,1.0
FCNN-3,0.2,0.9282
GNN-4,0.2,1.0
Greedy,0.2,0.9555
SCITE,0.2,1.0
FCNN-3,0.2,0.8344
GNN-4,0.2,0.8344
Greedy,0.2,0.8344
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,0.9363
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9763
Greedy,0.2,0.9351
SCITE,0.2,1.0
FCNN-3,0.2,0.9472
GNN-4,0.2,0.9065
Greedy,0.2,0.8275
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9724
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9894
Greedy,0.2,0.8939
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.8853
Greedy,0.2,0.846
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9822
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9135
GNN-4,0.2,0.8092
Greedy,0.2,0.9135
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9919
GNN-4,0.2,0.9919
Greedy,0.2,0.9919
SCITE,0.2,1.0
FCNN-3,0.2,0.8271
GNN-4,0.2,0.6114
Greedy,0.2,0.7307
SCITE,0.2,1.0
FCNN-3,0.2,0.9008
GNN-4,0.2,0.729
Greedy,0.2,0.7994
SCITE,0.2,1.0
FCNN-3,0.2,0.9863
GNN-4,0.2,0.779
Greedy,0.2,0.9863
SCITE,0.2,1.0
FCNN-3,0.2,0.8456
GNN-4,0.2,0.9483
Greedy,0.2,0.8456
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9687
GNN-4,0.2,1.0
Greedy,0.2,0.9687
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,0.9655
Greedy,0.2,0.8273
SCITE,0.2,1.0
FCNN-3,0.2,0.9156
GNN-4,0.2,0.9451
Greedy,0.2,0.9156
SCITE,0.2,1.0
FCNN-3,0.2,1.0
GNN-4,0.2,1.0
Greedy,0.2,1.0
SCITE,0.2,1.0
FCNN-3,0.2,0.9541
GNN-4,0.2,0.9806
Greedy,0.2,0.9541
SCITE,0.2,1.0
FCNN-3,0.2,0.9452
GNN-4,0.2,0.8891
Greedy,0.2,0.9109
SCITE,0.2,1.0
FCNN-3,0.3,0.9876
GNN-4,0.3,0.9876
Greedy,0.3,0.8995
SCITE,0.3,0.9901
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9652
GNN-4,0.3,0.8579
Greedy,0.3,0.8763
SCITE,0.3,0.9949
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,0.8552
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9218
Greedy,0.3,0.9836
SCITE,0.3,1.0
FCNN-3,0.3,0.9246
GNN-4,0.3,0.9404
Greedy,0.3,0.7169
SCITE,0.3,1.0
FCNN-3,0.3,0.9703
GNN-4,0.3,0.9807
Greedy,0.3,0.9968
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9657
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9638
GNN-4,0.3,1.0
Greedy,0.3,0.9524
SCITE,0.3,1.0
FCNN-3,0.3,0.9577
GNN-4,0.3,0.989
Greedy,0.3,0.9089
SCITE,0.3,1.0
FCNN-3,0.3,0.9799
GNN-4,0.3,0.9481
Greedy,0.3,0.9799
SCITE,0.3,0.9727
FCNN-3,0.3,1.0
GNN-4,0.3,0.9781
Greedy,0.3,0.9721
SCITE,0.3,1.0
FCNN-3,0.3,0.9967
GNN-4,0.3,0.7912
Greedy,0.3,0.8804
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9313
Greedy,0.3,0.8309
SCITE,0.3,1.0
FCNN-3,0.3,0.915
GNN-4,0.3,0.9339
Greedy,0.3,0.915
SCITE,0.3,0.9946
FCNN-3,0.3,1.0
GNN-4,0.3,0.8452
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9894
GNN-4,0.3,0.9482
Greedy,0.3,0.9233
SCITE,0.3,1.0
FCNN-3,0.3,0.8142
GNN-4,0.3,0.9941
Greedy,0.3,0.9045
SCITE,0.3,1.0
FCNN-3,0.3,0.952
GNN-4,0.3,0.962
Greedy,0.3,0.952
SCITE,0.3,0.9882
FCNN-3,0.3,0.9815
GNN-4,0.3,1.0
Greedy,0.3,0.9778
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.8853
Greedy,0.3,0.8608
SCITE,0.3,1.0
FCNN-3,0.3,0.9455
GNN-4,0.3,0.9623
Greedy,0.3,0.9752
SCITE,0.3,1.0
FCNN-3,0.3,0.9869
GNN-4,0.3,0.9687
Greedy,0.3,0.9615
SCITE,0.3,0.985
FCNN-3,0.3,0.9905
GNN-4,0.3,1.0
Greedy,0.3,0.9905
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.836
Greedy,0.3,0.9516
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9857
GNN-4,0.3,0.9804
Greedy,0.3,0.9523
SCITE,0.3,0.9837
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9007
GNN-4,0.3,0.9563
Greedy,0.3,0.8363
SCITE,0.3,1.0
FCNN-3,0.3,0.9871
GNN-4,0.3,0.9957
Greedy,0.3,0.9786
SCITE,0.3,1.0
FCNN-3,0.3,0.9944
GNN-4,0.3,0.7758
Greedy,0.3,0.9944
SCITE,0.3,0.9922
FCNN-3,0.3,0.8948
GNN-4,0.3,0.8297
Greedy,0.3,0.8948
SCITE,0.3,0.9968
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.8422
GNN-4,0.3,0.82
Greedy,0.3,0.7418
SCITE,0.3,1.0
FCNN-3,0.3,0.9517
GNN-4,0.3,0.9822
Greedy,0.3,0.9332
SCITE,0.3,1.0
FCNN-3,0.3,0.9662
GNN-4,0.3,0.9662
Greedy,0.3,0.8801
SCITE,0.3,0.9589
FCNN-3,0.3,0.9307
GNN-4,0.3,0.9789
Greedy,0.3,0.8825
SCITE,0.3,0.9775
FCNN-3,0.3,1.0
GNN-4,0.3,0.9915
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9871
GNN-4,0.3,0.9491
Greedy,0.3,0.865
SCITE,0.3,0.9882
FCNN-3,0.3,0.9815
GNN-4,0.3,1.0
Greedy,0.3,0.7837
SCITE,0.3,1.0
FCNN-3,0.3,0.9783
GNN-4,0.3,0.9378
Greedy,0.3,0.8938
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9889
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9662
GNN-4,0.3,0.9718
Greedy,0.3,0.8581
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9639
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.8642
GNN-4,0.3,0.96
Greedy,0.3,0.8642
SCITE,0.3,0.9957
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9629
GNN-4,0.3,1.0
Greedy,0.3,0.9509
SCITE,0.3,1.0
FCNN-3,0.3,0.9428
GNN-4,0.3,0.9832
Greedy,0.3,0.9361
SCITE,0.3,0.9933
FCNN-3,0.3,1.0
GNN-4,0.3,0.9369
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9809
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.945
GNN-4,0.3,0.8448
Greedy,0.3,0.945
SCITE,0.3,1.0
FCNN-3,0.3,0.9909
GNN-4,0.3,0.9909
Greedy,0.3,0.9909
SCITE,0.3,0.9899
FCNN-3,0.3,1.0
GNN-4,0.3,0.9178
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9856
GNN-4,0.3,0.9856
Greedy,0.3,0.9918
SCITE,0.3,0.9926
FCNN-3,0.3,0.9977
GNN-4,0.3,0.9743
Greedy,0.3,0.784
SCITE,0.3,0.9966
FCNN-3,0.3,0.9721
GNN-4,0.3,0.9888
Greedy,0.3,0.8627
SCITE,0.3,1.0
FCNN-3,0.3,0.9339
GNN-4,0.3,0.9339
Greedy,0.3,0.9339
SCITE,0.3,0.9875
FCNN-3,0.3,0.8814
GNN-4,0.3,0.8885
Greedy,0.3,0.6929
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,0.9808
SCITE,0.3,1.0
FCNN-3,0.3,0.9916
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9897
GNN-4,0.3,0.8457
Greedy,0.3,0.9897
SCITE,0.3,1.0
FCNN-3,0.3,0.9198
GNN-4,0.3,0.9265
Greedy,0.3,0.9169
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9783
GNN-4,0.3,0.9645
Greedy,0.3,0.9783
SCITE,0.3,1.0
FCNN-3,0.3,0.9571
GNN-4,0.3,0.9487
Greedy,0.3,0.9571
SCITE,0.3,0.9592
FCNN-3,0.3,0.8979
GNN-4,0.3,0.9644
Greedy,0.3,0.8979
SCITE,0.3,0.9844
FCNN-3,0.3,1.0
GNN-4,0.3,0.9141
Greedy,0.3,0.9913
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,0.9386
SCITE,0.3,1.0
FCNN-3,0.3,0.9366
GNN-4,0.3,0.9198
Greedy,0.3,0.871
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.9527
Greedy,0.3,0.9527
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9901
GNN-4,0.3,0.975
Greedy,0.3,0.9985
SCITE,0.3,0.9979
FCNN-3,0.3,0.9803
GNN-4,0.3,0.9803
Greedy,0.3,0.9004
SCITE,0.3,1.0
FCNN-3,0.3,0.9992
GNN-4,0.3,1.0
Greedy,0.3,0.9096
SCITE,0.3,1.0
FCNN-3,0.3,0.8704
GNN-4,0.3,0.8213
Greedy,0.3,0.8476
SCITE,0.3,1.0
FCNN-3,0.3,0.9213
GNN-4,0.3,1.0
Greedy,0.3,0.9735
SCITE,0.3,1.0
FCNN-3,0.3,0.9373
GNN-4,0.3,0.9443
Greedy,0.3,0.9215
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.8741
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9965
GNN-4,0.3,0.8633
Greedy,0.3,0.9965
SCITE,0.3,0.9971
FCNN-3,0.3,1.0
GNN-4,0.3,0.9553
Greedy,0.3,0.8905
SCITE,0.3,1.0
FCNN-3,0.3,0.9704
GNN-4,0.3,0.9704
Greedy,0.3,0.9704
SCITE,0.3,0.9759
FCNN-3,0.3,1.0
GNN-4,0.3,0.9947
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.9307
GNN-4,0.3,0.9806
Greedy,0.3,0.7512
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.8689
Greedy,0.3,0.9941
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,0.8426
Greedy,0.3,0.9908
SCITE,0.3,1.0
FCNN-3,0.3,0.8076
GNN-4,0.3,0.8534
Greedy,0.3,0.8042
SCITE,0.3,1.0
FCNN-3,0.3,1.0
GNN-4,0.3,1.0
Greedy,0.3,1.0
SCITE,0.3,1.0
FCNN-3,0.3,0.8796
GNN-4,0.3,0.8855
Greedy,0.3,0.893
SCITE,0.3,0.9871
FCNN-3,0.3,0.9902
