Method,miss_val,Perf
FCNN-3,0.0,1.0
GNN-4,0.0,0.9358
Greedy,0.0,0.9443
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.986
Greedy,0.0,0.9426
SCITE,0.0,1.0
FCNN-3,0.0,0.9572
GNN-4,0.0,0.9797
Greedy,0.0,0.9572
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9754
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9023
GNN-4,0.0,0.8913
Greedy,0.0,0.8824
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9317
Greedy,0.0,0.9802
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9912
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9245
SCITE,0.0,1.0
FCNN-3,0.0,0.9231
GNN-4,0.0,0.8084
Greedy,0.0,0.7803
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9783
SCITE,0.0,1.0
FCNN-3,0.0,0.9473
GNN-4,0.0,1.0
Greedy,0.0,0.9473
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.951
GNN-4,0.0,0.9319
Greedy,0.0,0.951
SCITE,0.0,1.0
FCNN-3,0.0,0.8513
GNN-4,0.0,0.9691
Greedy,0.0,0.7987
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9974
GNN-4,0.0,0.9875
Greedy,0.0,0.9974
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8666
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9394
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9716
Greedy,0.0,0.9492
SCITE,0.0,1.0
FCNN-3,0.0,0.8797
GNN-4,0.0,0.9836
Greedy,0.0,0.8797
SCITE,0.0,1.0
FCNN-3,0.0,0.9605
GNN-4,0.0,0.9683
Greedy,0.0,0.892
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9536
SCITE,0.0,1.0
FCNN-3,0.0,0.8907
GNN-4,0.0,0.9371
Greedy,0.0,0.8627
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9911
SCITE,0.0,1.0
FCNN-3,0.0,0.9018
GNN-4,0.0,1.0
Greedy,0.0,0.9684
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.8665
GNN-4,0.0,1.0
Greedy,0.0,0.7068
SCITE,0.0,1.0
FCNN-3,0.0,0.8589
GNN-4,0.0,0.8377
Greedy,0.0,0.7365
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9118
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9535
GNN-4,0.0,1.0
Greedy,0.0,0.9291
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8772
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9684
Greedy,0.0,0.8716
SCITE,0.0,1.0
FCNN-3,0.0,0.7625
GNN-4,0.0,0.9083
Greedy,0.0,0.9108
SCITE,0.0,1.0
FCNN-3,0.0,0.9021
GNN-4,0.0,0.9863
Greedy,0.0,0.9808
SCITE,0.0,1.0
FCNN-3,0.0,0.8907
GNN-4,0.0,1.0
Greedy,0.0,0.9583
SCITE,0.0,1.0
FCNN-3,0.0,0.9854
GNN-4,0.0,0.9798
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.8625
SCITE,0.0,1.0
FCNN-3,0.0,0.9432
GNN-4,0.0,0.8391
Greedy,0.0,0.9432
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9447
Greedy,0.0,0.9952
SCITE,0.0,1.0
FCNN-3,0.0,0.9495
GNN-4,0.0,1.0
Greedy,0.0,0.9321
SCITE,0.0,1.0
FCNN-3,0.0,0.9896
GNN-4,0.0,1.0
Greedy,0.0,0.9896
SCITE,0.0,1.0
FCNN-3,0.0,0.9334
GNN-4,0.0,0.9445
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9895
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9129
Greedy,0.0,0.9816
SCITE,0.0,1.0
FCNN-3,0.0,0.8446
GNN-4,0.0,1.0
Greedy,0.0,0.8973
SCITE,0.0,1.0
FCNN-3,0.0,0.983
GNN-4,0.0,0.983
Greedy,0.0,0.966
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.7942
GNN-4,0.0,0.9314
Greedy,0.0,0.742
SCITE,0.0,1.0
FCNN-3,0.0,0.9369
GNN-4,0.0,0.9118
Greedy,0.0,0.9369
SCITE,0.0,1.0
FCNN-3,0.0,0.8733
GNN-4,0.0,1.0
Greedy,0.0,0.8733
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.932
Greedy,0.0,0.987
SCITE,0.0,1.0
FCNN-3,0.0,0.9881
GNN-4,0.0,0.9179
Greedy,0.0,0.9881
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9895
Greedy,0.0,0.9457
SCITE,0.0,1.0
FCNN-3,0.0,0.9326
GNN-4,0.0,0.8444
Greedy,0.0,0.9326
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.8461
SCITE,0.0,1.0
FCNN-3,0.0,0.9888
GNN-4,0.0,1.0
Greedy,0.0,0.9888
SCITE,0.0,1.0
FCNN-3,0.0,0.9629
GNN-4,0.0,0.9875
Greedy,0.0,0.9629
SCITE,0.0,1.0
FCNN-3,0.0,0.858
GNN-4,0.0,1.0
Greedy,0.0,0.8338
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.8188
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9816
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9917
Greedy,0.0,0.9404
SCITE,0.0,1.0
FCNN-3,0.0,0.9582
GNN-4,0.0,0.8578
Greedy,0.0,0.9662
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.8906
SCITE,0.0,1.0
FCNN-3,0.0,0.993
GNN-4,0.0,0.9977
Greedy,0.0,0.8347
SCITE,0.0,1.0
FCNN-3,0.0,0.8714
GNN-4,0.0,1.0
Greedy,0.0,0.8714
SCITE,0.0,1.0
FCNN-3,0.0,0.9458
GNN-4,0.0,1.0
Greedy,0.0,0.9573
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.766
GNN-4,0.0,0.9469
Greedy,0.0,0.7753
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,0.9657
SCITE,0.0,1.0
FCNN-3,0.0,0.9768
GNN-4,0.0,0.9305
Greedy,0.0,0.9411
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9347
GNN-4,0.0,0.9298
Greedy,0.0,0.9347
SCITE,0.0,1.0
FCNN-3,0.0,0.8313
GNN-4,0.0,0.9391
Greedy,0.0,0.7948
SCITE,0.0,1.0
FCNN-3,0.0,0.8314
GNN-4,0.0,0.9775
Greedy,0.0,0.8189
SCITE,0.0,1.0
FCNN-3,0.0,0.9163
GNN-4,0.0,0.8657
Greedy,0.0,0.7369
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9209
GNN-4,0.0,0.9135
Greedy,0.0,0.8258
SCITE,0.0,1.0
FCNN-3,0.0,0.8853
GNN-4,0.0,0.99
Greedy,0.0,0.8853
SCITE,0.0,1.0
FCNN-3,0.0,0.8359
GNN-4,0.0,1.0
Greedy,0.0,0.8359
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9504
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.955
Greedy,0.0,0.955
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.8098
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,0.9921
GNN-4,0.0,1.0
Greedy,0.0,0.9488
SCITE,0.0,1.0
FCNN-3,0.0,0.949
GNN-4,0.0,1.0
Greedy,0.0,0.949
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9504
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,1.0
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9726
Greedy,0.0,0.9452
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9601
Greedy,0.0,0.9201
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9665
Greedy,0.0,1.0
SCITE,0.0,1.0
FCNN-3,0.0,1.0
GNN-4,0.0,0.9941
Greedy,0.0,0.9663
SCITE,0.0,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9358
Greedy,0.01,0.9443
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.986
Greedy,0.01,0.9426
SCITE,0.01,1.0
FCNN-3,0.01,0.956
GNN-4,0.01,0.9791
Greedy,0.01,0.956
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9754
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9023
GNN-4,0.01,0.8913
Greedy,0.01,0.8824
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8145
Greedy,0.01,0.981
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9466
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9223
SCITE,0.01,1.0
FCNN-3,0.01,0.8602
GNN-4,0.01,0.8083
Greedy,0.01,0.8371
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9473
GNN-4,0.01,1.0
Greedy,0.01,0.9473
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9529
GNN-4,0.01,0.9346
Greedy,0.01,0.9529
SCITE,0.01,1.0
FCNN-3,0.01,0.8513
GNN-4,0.01,0.9691
Greedy,0.01,0.7987
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9974
GNN-4,0.01,0.9875
Greedy,0.01,0.9974
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8666
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9394
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9716
Greedy,0.01,0.9492
SCITE,0.01,1.0
FCNN-3,0.01,0.8797
GNN-4,0.01,0.9836
Greedy,0.01,0.8797
SCITE,0.01,1.0
FCNN-3,0.01,0.9605
GNN-4,0.01,0.9683
Greedy,0.01,0.892
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9536
SCITE,0.01,1.0
FCNN-3,0.01,0.8907
GNN-4,0.01,0.9371
Greedy,0.01,0.8627
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9911
SCITE,0.01,1.0
FCNN-3,0.01,0.8972
GNN-4,0.01,1.0
Greedy,0.01,0.8958
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.8674
GNN-4,0.01,1.0
Greedy,0.01,0.7267
SCITE,0.01,1.0
FCNN-3,0.01,0.7802
GNN-4,0.01,0.8745
Greedy,0.01,0.7322
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9118
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9539
GNN-4,0.01,1.0
Greedy,0.01,0.9297
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.9915
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.8829
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9684
Greedy,0.01,0.8716
SCITE,0.01,1.0
FCNN-3,0.01,0.7625
GNN-4,0.01,0.9083
Greedy,0.01,0.9108
SCITE,0.01,1.0
FCNN-3,0.01,0.9021
GNN-4,0.01,0.9863
Greedy,0.01,0.9808
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9463
Greedy,0.01,0.9678
SCITE,0.01,1.0
FCNN-3,0.01,0.9854
GNN-4,0.01,0.9798
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.8625
GNN-4,0.01,1.0
Greedy,0.01,0.8625
SCITE,0.01,1.0
FCNN-3,0.01,0.9404
GNN-4,0.01,0.9138
Greedy,0.01,0.9404
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9447
Greedy,0.01,0.9952
SCITE,0.01,1.0
FCNN-3,0.01,0.9508
GNN-4,0.01,0.9813
Greedy,0.01,0.9339
SCITE,0.01,1.0
FCNN-3,0.01,0.9896
GNN-4,0.01,1.0
Greedy,0.01,0.9896
SCITE,0.01,1.0
FCNN-3,0.01,0.9334
GNN-4,0.01,0.9445
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9895
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.981
GNN-4,0.01,0.9402
Greedy,0.01,0.981
SCITE,0.01,1.0
FCNN-3,0.01,0.8446
GNN-4,0.01,1.0
Greedy,0.01,0.8973
SCITE,0.01,1.0
FCNN-3,0.01,0.968
GNN-4,0.01,0.984
Greedy,0.01,0.952
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.7987
GNN-4,0.01,0.9329
Greedy,0.01,0.7476
SCITE,0.01,1.0
FCNN-3,0.01,0.9369
GNN-4,0.01,0.9118
Greedy,0.01,0.9369
SCITE,0.01,1.0
FCNN-3,0.01,0.8733
GNN-4,0.01,1.0
Greedy,0.01,0.8733
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9351
Greedy,0.01,0.9854
SCITE,0.01,1.0
FCNN-3,0.01,0.9881
GNN-4,0.01,0.9179
Greedy,0.01,0.9881
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9897
Greedy,0.01,0.9469
SCITE,0.01,1.0
FCNN-3,0.01,0.9326
GNN-4,0.01,0.8444
Greedy,0.01,0.9326
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.8513
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,0.9615
GNN-4,0.01,0.9973
Greedy,0.01,0.9615
SCITE,0.01,1.0
FCNN-3,0.01,0.858
GNN-4,0.01,1.0
Greedy,0.01,0.8338
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.8926
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,1.0
Greedy,0.01,0.8466
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9816
Greedy,0.01,1.0
SCITE,0.01,1.0
FCNN-3,0.01,1.0
GNN-4,0.01,0.9917
Greedy,0.01,0.9404
SCITE,0.01,1.0
FCNN-3,0.01,0.9582
